system:index,Air_Temperature_K,EVI,Fpar_500m,Humidity,LST_Day_1km,LST_Night_1km,Lai_500m,Unnamed: 8,NDWI,Rain_mm,SoilMoisture,Surface_Temperature_K,Transpiration_mm_hr,Wind_Speed_m_s,b10,ro,surface_net_solar_radiation,tmmn,tmmx,vap,vpd,.geo
, 300.47134777803865, 47643.71062769756, 1184.5141206050246, 0.010788621558570032, 601811.6538587658, 575374.4513880922, 251.03289971471662,, -2.843522374682097, 675.2784512242471, 23.955512793685728, 301.33330748185455, 22.73977318336301, 2.9455201709267183, 75.97742379686187, 29.746273823192567, 1.0488432323924402E11, 2492.6811656732716, 4151.223688053513, 21757.192158995862, 2750.033540149985,"{""type"":""MultiPoint"""
, 300.47134777803865, 53920.4654784109, 1318.8972300335874, 0.010788621558570032, 552703.2533015197, 499081.276665055, 288.84497911770467,, -0.9656198249316423, 680.2155666150294, 23.955512793685728, 301.33330748185455, 22.73977318336301, 2.9455201709267183, 75.97742379686187, 35.801626614290264, 1.0423644014546913E11, 2514.375739865339, 4172.988066344104, 21174.799350034216, 2847.16555645013,"""coordinates"":}"
, 300.47134777803865, 52321.21219048964, 1379.1656351201768, 0.010788621558570032, 618862.2470948567, 542488.762698826, 299.9847994847987,, -3.9306706745800546, 711.9306232935126, 23.955512793685728, 301.33330748185455, 22.73977318336301, 2.9455201709267183, 75.97742379686187, 57.359349786976054, 1.0574843508737923E11, 2487.251017213428, 4145.72988621735, 21749.198652163184, 2741.051515736864,
, 300.47134777803865, 49924.69319946647, 1305.2038045674337, 0.010788621558570032, 595397.5903645584, 555842.7958810773, 284.45541536450537,, -2.819783834276518, 824.8187873604047, 23.955512793685728, 301.33330748185455, 22.73977318336301, 2.9455201709267183, 75.97742379686187, 200.64072964298242, 1.0589481318093274E11, 2437.1453741320984, 4095.86844235378, 21287.422346707135, 2698.727801258204,
, 300.47134777803865, 50619.62296823877, 1293.1592988411137, 0.010788621558570032, 565102.9212827473, 533948.2027411063, 282.0388624479522,, -2.127342117006164, 1162.4584572705212, 23.955512793685728, 301.33330748185455, 22.73977318336301, 2.9455201709267183, 75.97742379686187, 354.57664110175773, 1.0329306804109427E11, 2456.522981374137, 4115.240493516556, 21518.14337200265, 2674.080966325715,
, 300.47134777803865, 57287.62433616482, 1448.465069010518, 0.010788621558570032, 586017.7263511204, 506128.8485459218, 324.69475992203144,, -2.6529567347965095, 986.7253961962062, 23.955512793685728, 301.33330748185455, 22.73977318336301, 2.9455201709267183, 75.97742379686187, 150.24693445173995, 1.0467269637256125E11, 2492.0930616231194, 4150.672410142924, 21715.082326525102, 2745.3813871190623,
, 300.47134777803865, 50956.12407546767, 1335.5669652487784, 0.010788621558570032, 573929.2977121386, 526365.6802681456, 291.010602146964,, -2.946038588662611, 702.640704877484, 23.955512793685728, 301.33330748185455, 22.73977318336301, 2.9455201709267183, 75.97742379686187, 37.318111730445004, 1.0353177400739984E11, 2478.529594459063, 4137.143649234825, 21279.105893115706, 2757.716580308478,
, 300.47134777803865, 54942.04279883966, 1415.6941614214302, 0.010788621558570032, 593868.4595817403, 563612.9216919501, 312.0406668588473,, -0.9033186305676787, 674.8654574297747, 23.955512793685728, 301.33330748185455, 22.73977318336301, 2.9455201709267183, 75.97742379686187, 49.27047137199021, 1.0552505488761337E11, 2578.635505809667, 4237.200979121045, 22494.06967830862, 2883.3741883540847,
, 300.47134777803865, 61497.993324483694, 1581.6645084372283, 0.010788621558570032, 567940.3722783265, 506183.951062182, 357.33554279008683,, -0.011591241147200799, 932.1729063643915, 23.955512793685728, 301.33330748185455, 22.73977318336301, 2.9455201709267183, 75.97742379686187, 204.37120772170454, 1.0117928470923073E11, 2546.9958776778653, 4205.63335440133, 22231.58537128866, 2857.3888155200552,
, 300.47134777803865, 56504.769679081415, 1462.4389911208, 0.010788621558570032, 550873.2209324206, 526172.8933672892, 322.2993848902929,, -1.844310454548125, 761.109488860853, 23.955512793685728, 301.33330748185455, 22.73977318336301, 2.9455201709267183, 75.97742379686187, 116.52003381181883, 1.0268116393681508E11, 2497.7620349522695, 4156.333174679458, 21285.23492322028, 2804.6983939385973,
, 300.47134777803865, 53606.28098765122, 1345.874516919965, 0.010788621558570032, 567925.5356876944, 562341.6409234268, 292.79811852539046,, -1.1600850073053888, 855.1519330336196, 23.955512793685728, 301.33330748185455, 22.73977318336301, 2.9455201709267183, 75.97742379686187, 99.30166385674158, 1.0398149020101118E11, 2489.452313127111, 4147.950392436535, 21355.036090562477, 2787.8594216448164,
, 300.47134777803865, 53136.04144698508, 1387.7463808372822, 0.010788621558570032, 544615.5602164081, 490145.5420921597, 314.9680952408215,, 0.6009485237179407, 1012.0543023639096, 23.955512793685728, 301.33330748185455, 22.73977318336301, 2.9455201709267183, 75.97742379686187, 280.6985336364236, 9.681998772259456E10, 2448.716851977476, 4107.291749019873, 20905.906228143234, 2735.8831075348667,
, 300.47134777803865, 57513.6477658392, 1599.4712127893881, 0.010788621558570032, 604388.743074372, 550724.5113994352, 360.83994643085424,, 0.485182903156418, 681.7732192655886, 23.955512793685728, 301.33330748185455, 22.73977318336301, 2.9455201709267183, 75.97742379686187, 88.03220313052945, 1.0412014549968454E11, 2565.575050030056, 4224.081922884945, 21805.442806257353, 2909.272090568696,
, 300.47134777803865, 58746.37132887554, 1558.2591103500154, 0.010788621558570032, 634514.4587321177, 573430.6162012382, 347.94435948981203,, -0.06576293173767962, 734.8352178585342, 23.955512793685728, 301.33330748185455, 22.73977318336301, 2.9455201709267183, 75.97742379686187, 50.4992818851789, 1.0286657414899203E11, 2552.025912710492, 4210.625084722711, 22036.024736714393, 2863.1469380059966,
, 300.47134777803865, 56373.82696291668, 1380.670167942892, 0.010788621558570032, 560243.6396812906, 527867.4526005586, 319.84817048453243,, -1.5467875394412276, 885.2525995558804, 23.955512793685728, 301.33330748185455, 22.73977318336301, 2.9455201709267183, 75.97742379686187, 157.4887183188043, 1.0143549838403555E11, 2455.064249255535, 3997.902789784137, 21703.31474940155, 2775.105548507137,
, 300.47134777803865, 63062.85913174082, 1627.6235879872163, 0.010788621558570032, 575103.143595148, 540082.7753628037, 377.6569341114786,, -3.5784372130065654, 727.3406587571628, 23.955512793685728, 301.33330748185455, 22.73977318336301, 2.9455201709267183, 75.97742379686187, 45.506741192778414, 1.0414451876725426E11, 2459.534385909058, 4030.5485834733126, 21557.441797156913, 2749.8994222011324,
, 300.47134777803865, 52217.518388653596, 1345.1260090350943, 0.010788621558570032, 588425.4198574888, 557901.442819547, 293.3621638167078,, -5.363428106381143, 652.7719890630003, 23.955512793685728, 301.33330748185455, 22.73977318336301, 2.9455201709267183, 75.97742379686187, 43.19627791831697, 1.0324956972322627E11, 2497.5262101865055, 4054.98757431105, 21488.02631944131, 2517.649524424707,
, 300.47134777803865, 58344.60508444445, 1448.1418160054498, 0.010788621558570032, 573838.6015644916, 515708.370108682, 340.1275945366839,, -2.8692790925978917, 998.759502741713, 23.955512793685728, 301.33330748185455, 22.73977318336301, 2.9455201709267183, 75.97742379686187, 361.07810035681626, 9.796880738800757E10, 2528.1428691522747, 4186.625316831268, 24895.16515868218, 2569.7388324414205,
, 300.47134777803865, 69332.12506818761, 1793.835868608589, 0.010788621558570032, 581983.3584868743, 521747.9055284177, 436.2886093340621,, -1.8677780338670906, 1096.7606881687273, 23.955512793685728, 301.33330748185455, 22.73977318336301, 2.9455201709267183, 75.97742379686187, 166.32815699315876, 9.978041163930336E10, 2518.7621261267373, 4174.864521851737, 21748.92405568751, 2822.440771057825,
, 300.47134777803865, 63835.95304205917, 1636.2132965769251, 0.010788621558570032, 563677.7133836384, 505907.2520368208, 384.5701830247266,, -0.4417182794813536, 929.3728655314002, 23.955512793685728, 301.33330748185455, 22.73977318336301, 2.9455201709267183, 75.97742379686187, 117.46943291027334, 9.780456629652193E10, 2507.909143562696, 4163.9992820397165, 24478.206268476344, 2484.2660418382593,
, 300.47134777803865, 63533.20055322805, 1595.778703369607, 0.010788621558570032, 546296.8001906935, 503822.3236501929, 364.5132914223807,, -0.1861237853622403, 1073.0171180091047, 23.955512793685728, 301.33330748185455, 22.73977318336301, 2.9455201709267183, 75.97742379686187, 326.35830081701585, 1.0197337290388724E11, 2510.8129198854567, 4160.019213087091, 23229.17965171355, 2651.43517510906,
, 300.47134777803865, 61312.63475632468, 1664.625670489302, 0.010788621558570032, 569349.9291973087, 535926.9841161702, 367.4637129182567,, -0.71877830560888, 813.8716906445983, 23.955512793685728, 301.33330748185455, 22.73977318336301, 2.9455201709267183, 75.97742379686187, 293.59000542410774, 1.0063021140538972E11, 2482.2877425974834, 4131.494035799105, 23593.675652554128, 2509.8047064568495,
,299.0664000205163,38287.25639523152,1054.821568801195,0.010623037068258966,508480.3074886357,458741.7927312998,332.3675258703038,,-2.8659081654014695,636.9970954784771,24.707338388689674,300.1236251672216,18.40947524703518,3.1381614505389273,76.70127703394004,29.477118407438365,1.0728824416408006E11,2313.5509030916146,3900.8824153812207,20172.077262835446,2370.683925356639,
, 299.0664000205163, 41324.47063073546, 1061.315098711862, 0.010623037068258966, 572987.1278122813, 517988.4279567443, 222.9636397212398,, -4.687962503703344, 596.1151481760035, 24.707338388689674, 300.1236251672216, 18.40947524703518, 3.1381614505389273, 76.70127703394004, 22.853269386148277, 1.0492030440798267E11, 2340.3245628680124, 3894.08205199336, 20086.667379149247, 2388.4994841080265,
, 299.0664000205163, 43842.40301683624, 1096.885653885587, 0.010623037068258966, 599484.0314851621, 570725.9939353261, 227.68970117256833,, -4.6379752392637945, 515.078673911131, 24.707338388689674, 300.1236251672216, 18.40947524703518, 3.1381614505389273, 76.70127703394004, 25.30867940709175, 1.0552529829522342E11, 2377.156977470603, 3930.808118245544, 20377.75678762814, 2447.7178717364673,
, 299.0664000205163, 46376.68822705187, 1128.1257668757291, 0.010623037068258966, 568440.018551106, 512346.23693475005, 238.77646358871368,, -4.936924304889528, 574.6905419299986, 24.707338388689674, 300.1236251672216, 18.40947524703518, 3.1381614505389273, 76.70127703394004, 24.356811820209515, 1.0559258415109138E11, 2409.1972887513816, 3962.901346389312, 19836.1478236022, 2561.1215060496397,
, 299.0664000205163, 44373.45714330201, 1190.716415143087, 0.010623037068258966, 617547.9095430769, 547013.6000426603, 256.56963592809484,, -6.3415664589718626, 620.2632017156335, 24.707338388689674, 300.1236251672216, 18.40947524703518, 3.1381614505389273, 76.70127703394004, 43.25926025183634, 1.0642810563798155E11, 2362.826391577394, 3916.558779271743, 20348.146012819598, 2420.9131135791636,
, 299.0664000205163, 44441.39817878713, 1162.181806606204, 0.010623037068258966, 588880.8217621295, 570177.6559067536, 243.9006794003337,, -4.861101436666274, 825.1788072625691, 24.707338388689674, 300.1236251672216, 18.40947524703518, 3.1381614505389273, 76.70127703394004, 220.22011402860346, 1.0587542568546095E11, 2311.866343236742, 3865.58786695962, 19911.192131642452, 2374.5371585271314,
, 299.0664000205163, 47998.58685219698, 1255.1882949389685, 0.010623037068258966, 577309.2907809066, 537603.938263177, 271.9732566165945,, -3.0746572386484887, 1037.1700727339569, 24.707338388689674, 300.1236251672216, 18.40947524703518, 3.1381614505389273, 76.70127703394004, 305.1418494681905, 1.0343177304386147E11, 2337.7020639662574, 3891.4184859901497, 20188.094428330478, 2372.111153081025,
, 299.0664000205163, 53531.38694686469, 1376.5616434428955, 0.010623037068258966, 586252.9572090332, 509270.4033601597, 306.3196014889614,, -4.640356032074207, 861.8301787230129, 24.707338388689674, 300.1236251672216, 18.40947524703518, 3.1381614505389273, 76.70127703394004, 125.86743803592344, 1.0526255770154733E11, 2378.3428405457385, 3931.9422574012947, 20395.41257088759, 2441.574734801826,
, 299.0664000205163, 44378.489665320165, 1194.3269952917017, 0.010623037068258966, 574794.2179954125, 533694.9762381854, 253.3529020833992,, -4.680268401509813, 703.5522235897383, 24.707338388689674, 300.1236251672216, 18.40947524703518, 3.1381614505389273, 76.70127703394004, 58.222120737915546, 1.0418960676313011E11, 2355.4191382340587, 3909.1442842465062, 19939.043015141375, 2439.3001404805104,
, 299.0664000205163, 49728.1535858746, 1283.2333930774707, 0.010623037068258966, 580898.9685007108, 578664.2756822384, 278.9558188732401,, -2.696445578799477, 665.5627468886984, 24.707338388689674, 300.1236251672216, 18.40947524703518, 3.1381614505389273, 76.70127703394004, 71.13119083946796, 1.0588342686589455E11, 2445.793929315009, 3999.5055835482317, 21107.56859552436, 2527.386579638036,
, 299.0664000205163, 56876.84706745544, 1467.5169019821242, 0.010623037068258966, 565707.4016037015, 514035.88788539224, 328.48528387898494,, -0.5038474220296368, 982.9665365468512, 24.707338388689674, 300.1236251672216, 18.40947524703518, 3.1381614505389273, 76.70127703394004, 193.57451171340932, 1.0136015891179416E11, 2414.981327571664, 3968.6576269983343, 20819.58979761599, 2508.9591056472104,
, 299.0664000205163, 53286.737570878504, 1427.993074941783, 0.010623037068258966, 563344.1967433424, 537744.3551346721, 316.0239443195525,, -2.628465532602103, 723.3809260995417, 24.707338388689674, 300.1236251672216, 18.40947524703518, 3.1381614505389273, 76.70127703394004, 117.52767654496864, 1.037738627051255E11, 2359.5246181331004, 3913.3446672632545, 19932.451027202624, 2447.0261237988575,
, 299.0664000205163, 48477.7747907912, 1243.5762210627456, 0.010623037068258966, 562209.1956130518, 544670.5321477273, 267.56130649786274,, -2.7584085534895704, 684.341222497671, 24.707338388689674, 300.1236251672216, 18.40947524703518, 3.1381614505389273, 76.70127703394004, 51.66549593533609, 1.0459291629449373E11, 2387.0151939148964, 3940.6770635769412, 20015.027668758572, 2507.2962462113883,
, 299.0664000205163, 50090.753276158386, 1308.9497382253494, 0.010623037068258966, 559973.4709146658, 487032.88675944804, 300.38234549487623,, -1.4291315524068928, 856.6668506743165, 24.707338388689674, 300.1236251672216, 18.40947524703518, 3.1381614505389273, 76.70127703394004, 159.83938828865465, 9.806503793611691E10, 2352.162116833863, 3905.889842487256, 19616.592597810297, 2468.529437349997,
, 299.0664000205163, 51919.703669768205, 1463.7723033413731, 0.010623037068258966, 608433.265654124, 578032.7628570091, 324.4780780952952,, -2.1272414953474867, 624.9806324200065, 24.707338388689674, 300.1236251672216, 18.40947524703518, 3.1381614505389273, 76.70127703394004, 75.41367474070486, 1.0436194583894792E11, 2429.626195433421, 3983.3002502139298, 20466.38659484859, 2547.739735850264,
, 299.0664000205163, 53486.50581713912, 1417.970839920201, 0.010623037068258966, 632673.0909530752, 577343.8278333215, 313.7020579336958,, -3.2837799957862877, 666.8667818889111, 24.707338388689674, 300.1236251672216, 18.40947524703518, 3.1381614505389273, 76.70127703394004, 36.24931977950462, 1.0327106557895375E11, 2418.6774380467805, 3972.330402279838, 20704.815474368857, 2496.492105530959,
